type,s_frontend,s_backend,lf_react,lf_angular,lf_javascript,lf_kotlin,lb_node,lb_dotnet,lb_java,Complexity_value,t_design,t_frontend,t_backend,t_qa
1,1,3,1,0,0,0,1,0,0,3.2,0,2.0,8.0,3.0
1,1,3,1,0,0,0,1,0,0,5.2,0,2.0,16.0,3.0
1,1,3,1,0,0,0,1,0,0,7.1,2,12.0,12.0,3.0
1,1,3,1,0,0,0,1,0,0,4.9,1,8.0,8.0,3.0
1,1,3,1,0,0,0,1,0,0,4.4,1,6.0,8.0,3.0
1,1,3,1,0,0,0,1,0,0,4.9,1,8.0,8.0,3.0
1,1,3,1,0,0,0,1,0,0,6.2,2,4.0,16.0,4.0
1,1,3,1,0,0,0,1,0,0,6.2,2,4.0,16.0,4.0
1,1,3,1,0,0,0,1,0,0,2.8,0,0.0,8.0,4.0
1,1,3,1,0,0,0,1,0,0,2.8,0,0.0,8.0,4.0
1,2,2,1,0,0,0,1,0,0,2.42,2,3.0,3.0,1.2
1,2,2,1,0,0,0,1,0,0,0.94,0,1.0,1.0,0.4
1,2,2,1,0,0,0,1,0,0,1.75,0,2.0,3.0,1.0
1,2,2,1,0,0,0,1,0,0,1.6,1,4.0,0.0,0.0
1,2,2,1,0,0,0,1,0,0,0.85,1,1.0,0.0,0.0
1,2,2,1,0,0,0,1,0,0,2.96,2,6.0,2.0,1.6
1,2,2,1,0,0,0,1,0,0,1.95,1,4.0,1.0,1.0
1,2,2,1,0,0,0,1,0,0,5.46,1,12.0,6.0,3.6
1,2,2,1,0,0,0,1,0,0,2.76,1,4.0,4.0,1.6
1,2,2,1,0,0,0,1,0,0,2.02,0,2.0,4.0,1.2
1,2,2,1,0,0,0,1,0,0,2.96,2,8.0,0.0,1.6
1,2,2,1,0,0,0,1,0,0,2.42,2,4.0,2.0,1.2
1,2,2,1,0,0,0,1,0,0,2.76,1,2.0,6.0,1.6
1,2,2,0,1,0,0,0,1,0,5.4,0,6.0,14.0,0.0
1,2,2,0,1,0,0,0,1,0,6.4,0,8.0,16.0,0.0
1,2,2,0,1,0,0,0,1,0,8.4,0,14.0,18.0,0.0
1,2,2,0,1,0,0,0,1,0,6.4,0,10.0,14.0,0.0
1,2,2,0,1,0,0,0,1,0,6.4,0,8.0,16.0,0.0
1,2,2,0,1,0,0,0,1,0,3.4,0,8.0,4.0,0.0
1,2,2,0,1,0,0,0,1,0,3.4,0,8.0,4.0,0.0
1,2,2,0,1,0,0,0,1,0,2.9,0,6.0,4.0,0.0
1,2,2,0,1,0,0,0,1,0,2.4,0,4.0,4.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,2.4,0,8.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,2.4,0,8.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,0.9,0,2.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,4.4,0,16.0,0.0,0.0
0,2,2,0,0,0,1,1,0,0,1.4,0,4.0,0.0,0.0
1,2,3,0,1,0,0,0,0,1,4.7,0,8.0,8.0,2.0
1,2,3,0,1,0,0,0,0,1,6.7,0,12.0,12.0,2.0
1,2,3,0,1,0,0,0,0,1,4.7,0,8.0,8.0,2.0
1,2,3,0,1,0,0,0,0,1,4.7,0,8.0,8.0,2.0
1,2,3,0,1,0,0,0,0,1,4.6,0,8.0,8.0,1.0
1,2,3,0,1,0,0,0,0,1,4.6,0,8.0,8.0,1.0
1,2,3,0,1,0,0,0,0,1,1.6,0,2.0,2.0,1.0
